ENSG00000204501	ENSRNOG00000014485	ENSMUSG00000026042	ENSSSCG00000004187	ENSDARG00000030563	FBgn0051935	AT1G02730	
ENSG00000204481	ENSRNOG00000014721	ENSMUSG00000025995	ENSSSCG00000004186	ENSDARG00000026387	FBgn0031351	AT1G02740	
ENSG00000204480	ENSRNOG00000039776	ENSMUSG00000025993	ENSSSCG00000004189	ENSDARG00000070495	FBgn0021906	AT1G02750	
ENSG00000204479	ENSRNOG00000015159	ENSMUSG00000041144	ENSSSCG00000004190	ENSDARG00000034785	FBgn0086758	AT1G02770	
ENSG00000204478	ENSRNOG00000015465	ENSMUSG00000101337	ENSSSCG00000004191	ENSDARG00000070512	FBgn0011570	AT1G02780	
ENSG00000162494	ENSRNOG00000028261	ENSMUSG00000025986	ENSSSCG00000004192	ENSDARG00000070504	FBgn0031356	AT1G02790	
ENSG00000162493	ENSRNOG00000039743	ENSMUSG00000026109	ENSSSCG00000004193	ENSDARG00000062057	FBgn0031357	AT1G02800	
ENSG00000116731	ENSRNOG00000015676	ENSMUSG00000045954	ENSSSCG00000025992	ENSDARG00000067992	FBgn0086698	AT1G02810	
ENSG00000189337	ENSRNOG00000015810	ENSMUSG00000026107	ENSSSCG00000004196	ENSDARG00000070502	FBgn0031359	AT1G02813	
ENSG00000171729	ENSRNOG00000016103	ENSMUSG00000018417	ENSSSCG00000004195	ENSDARG00000037679	FBgn0000579	AT1G02816	
ENSG00000142621	ENSRNOG00000016372	ENSMUSG00000062939	ENSSSCG00000036790	ENSDARG00000076833	FBgn0260648	AT1G02820	
ENSG00000142634	ENSRNOG00000026501	ENSMUSG00000026104	ENSSSCG00000004199	ENSDARG00000012297	FBgn0031360	AT1G02830	
ENSG00000162438	ENSRNOG00000016253	ENSMUSG00000026103	ENSSSCG00000033538	ENSDARG00000087107	FBgn0031361	AT1G02840	
ENSG00000142615	ENSRNOG00000025327	ENSMUSG00000002881	ENSSSCG00000004201	ENSDARG00000099342	FBgn0264494	AT1G02850	
