ENSG00000130695	ENSMUSG00000006542	FBgn0031471	AT1G04260	
ENSG00000142669	ENSMUSG00000033227	FBgn0031472	AT1G04270	
ENSG00000158062	ENSMUSG00000026167	FBgn0031473	AT1G04280	
ENSG00000169442	ENSMUSG00000090071	FBgn0015521	AT1G04290	
ENSG00000176092	ENSMUSG00000055197	FBgn0031474	AT1G04300	
ENSG00000176083	ENSMUSG00000006546	FBgn0051694	AT1G04310	
ENSG00000131914	ENSMUSG00000047021	FBgn0031476	AT1G04330	
ENSG00000117682	ENSMUSG00000006538	FBgn0031478	AT1G04340	
ENSG00000198830	ENSMUSG00000026162	FBgn0031479	AT1G04350	
ENSG00000117676	ENSMUSG00000026205	FBgn0051950	AT1G04360	
ENSG00000117713	ENSMUSG00000033159	FBgn0028970	AT1G04370	
ENSG00000060642	ENSMUSG00000049339	FBgn0024947	AT1G04380	
ENSG00000204160	ENSMUSG00000026197	FBgn0041111	AT1G04390	
ENSG00000175793	ENSMUSG00000026198	FBgn0010263	AT1G04400	
ENSG00000142751	ENSMUSG00000033124	FBgn0024920	AT1G04410	
ENSG00000198746	ENSMUSG00000026199	FBgn0004584	AT1G04420	
ENSG00000090273	ENSMUSG00000026200	FBgn0260639	AT1G04430	
ENSG00000131910	ENSMUSG00000026201	FBgn0031483	AT1G04440	
ENSG00000175707	ENSMUSG00000026202	FBgn0031484	AT1G04445	
ENSG00000253368	ENSMUSG00000096094	FBgn0031485	AT1G04450	
ENSG00000158246	ENSMUSG00000026203	FBgn0250786	AT1G04455	
ENSG00000090020	ENSMUSG00000026204	FBgn0025109	AT1G04470	
ENSG00000142784	ENSMUSG00000033061	FBgn0002989	AT1G04480	
ENSG00000186501	ENSMUSG00000026209	FBgn0025681	AT1G04490	
ENSG00000142765	ENSMUSG00000026208	FBgn0031488	AT1G04500	
ENSG00000142733	ENSMUSG00000026207	FBgn0031489	AT1G04510	
ENSG00000142748	ENSMUSG00000033021	FBgn0031490	AT1G04520	
ENSG00000174950	ENSMUSG00000033007	FBgn0031491	AT1G04530	
ENSG00000181773	ENSMUSG00000032997	FBgn0031492	AT1G04540	
ENSG00000158195	ENSMUSG00000026211	FBgn0031493	AT1G04550	
ENSG00000126705	ENSMUSG00000051703	FBgn0031494	AT1G04555	
ENSG00000000938	ENSMUSG00000032968	FBgn0031495	AT1G04560	
ENSG00000126709	ENSMUSG00000026213	FBgn0031496	AT1G04570	
ENSG00000009780	ENSMUSG00000006576	FBgn0031497	AT1G04580	
ENSG00000117758	ENSMUSG00000026235	FBgn0031498	AT1G04590	
ENSG00000117751	ENSMUSG00000004872	FBgn0243513	AT1G04600	
ENSG00000130775	ENSMUSG00000032908	FBgn0031500	AT1G04610	
ENSG00000117748	ENSMUSG00000026245	FBgn0031501	AT1G04620	
